sim_id,esm_ckpt,embedding_col,eval_split,model,accuracy,balanced_accuracy,f1_macro,f1_weighted,mcc,top3_acc,top5_acc,n_train,n_eval,fit_seconds
80,facebook/esm2_t12_35M_UR50D,embedding_mid,test,knn,0.9647832529313459,0.9043505304260344,0.9017498609714417,0.9649562393120218,0.9612185285640777,0.9847224947394773,0.9889918064398271,458966,147799,0.3
90,facebook/esm2_t12_35M_UR50D,embedding_mid,test,rf,0.9725962736176852,0.9211071511388518,0.9407702319288739,0.9724107229743001,0.9698219273949145,0.9874519779196769,0.9913461916687427,458927,152534,257.4
90,facebook/esm2_t12_35M_UR50D,embedding_mid,test,logreg,0.966663170178452,0.9486263544108782,0.9130646186527756,0.9674803178100242,0.9633825787011098,0.9848755031665072,0.9895367590176616,458927,152534,148.8
90,facebook/esm2_t12_35M_UR50D,embedding_mid,test,knn,0.9707016140663721,0.92110648460992,0.9264516581059868,0.9706716455535436,0.9677526450717033,0.9873143036962251,0.9906119291436664,458927,152534,0.3
10,facebook/esm2_t30_150M_UR50D,embedding_mid,test,rf,0.12593876372039284,0.11243515677425212,0.09305691418907139,0.11309696596331041,0.10446236650314626,0.27083970503279303,0.3985568808690432,473005,88281,340.5
10,facebook/esm2_t30_150M_UR50D,embedding_mid,test,logreg,0.12265379866562454,0.11444550824888257,0.09910377908676263,0.1145627809735453,0.0776457059530809,0.19154744509010999,0.2909799390582345,473005,88281,80.7
10,facebook/esm2_t30_150M_UR50D,embedding_mid,test,knn,0.13817242668297822,0.11182398872878861,0.09481801371712052,0.12096930553414809,0.08797453225700692,0.25796037652496007,0.3523521482538712,473005,88281,0.3
20,facebook/esm2_t30_150M_UR50D,embedding_mid,test,rf,0.1744560211490843,0.12354048310302428,0.12693032081131292,0.21487507758233385,0.16752373673887944,0.30839623431462854,0.4005765757144395,495285,83597,351.0
20,facebook/esm2_t30_150M_UR50D,embedding_mid,test,logreg,0.1511657116882185,0.11714114676684567,0.11664971943938583,0.1864556035144194,0.11570222654662811,0.2931803772862663,0.3570582676411833,495285,83597,113.3
20,facebook/esm2_t30_150M_UR50D,embedding_mid,test,knn,0.2162757036735768,0.14290094675929055,0.12603008604110685,0.22225764164209402,0.17919746506956002,0.2821991219780614,0.31698505927246196,495285,83597,0.4
30,facebook/esm2_t30_150M_UR50D,embedding_mid,test,rf,0.17286847168129135,0.16877149184784257,0.16626586258680637,0.21208344626040823,0.15614538619458226,0.3911243020036601,0.5079184458730234,498974,85244,343.3
30,facebook/esm2_t30_150M_UR50D,embedding_mid,test,logreg,0.20123410445309933,0.19458684511112292,0.1422843709167999,0.23018674597502975,0.16684653023929438,0.3493618319177889,0.4074304349866266,498974,85244,114.0
