split,threshold,condition,bin,n,accuracy,MCC,F1_weighted,precision_weighted,recall_weighted
50,0.733,above_threshold,60-70%,18,1.0,1.0,1.0,1.0,1.0
50,0.733,above_threshold,70-80%,8,1.0,,1.0,1.0,1.0
50,0.733,above_threshold,80-90%,7,1.0,,1.0,1.0,1.0
50,0.733,above_threshold,90-100%,2,1.0,,1.0,1.0,1.0
50,0.733,below_threshold,0-10%,10,0.5,0.44335776794587245,0.4666666666666666,0.5,0.5
50,0.733,below_threshold,10-20%,2920,0.15924657534246575,0.1472737240316282,0.15939494973601517,0.2619540722580212,0.15924657534246575
50,0.733,below_threshold,20-30%,6187,0.19605624696945206,0.16656506567058185,0.20002074726929947,0.33951179587029806,0.19605624696945206
50,0.733,below_threshold,30-40%,14240,0.4214185393258427,0.39795949208204184,0.4010781539429716,0.6098127967513074,0.4214185393258427
50,0.733,below_threshold,40-50%,18874,0.42338666949242343,0.4226372888361707,0.4592791442569526,0.7729781181935186,0.42338666949242343
50,0.733,below_threshold,50-60%,159,0.5534591194968553,0.5363631479861652,0.6068356870243662,0.7994652568893749,0.5534591194968553
50,0.733,below_threshold,60-70%,18,0.3333333333333333,0.33344794960030055,0.3796296296296296,0.574074074074074,0.3333333333333333
50,0.733,below_threshold,70-80%,2,1.0,,1.0,1.0,1.0
50,0.733,below_threshold,80-90%,8,1.0,,1.0,1.0,1.0
50,0.733,below_threshold,90-100%,1,1.0,,1.0,1.0,1.0
60,0.666,all,0-10%,2,0.0,0.0,0.0,0.0,0.0
60,0.666,all,10-20%,215,0.11162790697674418,0.05604501959569221,0.08627540191799678,0.13356909701003947,0.11162790697674418
60,0.666,all,20-30%,1173,0.24040920716112532,0.19713055984636801,0.24707961906329515,0.46032556951188935,0.24040920716112532
60,0.666,all,30-40%,5112,0.5455790297339593,0.5445327701292313,0.5499623205820623,0.7583574716104975,0.5455790297339593
60,0.666,all,40-50%,37841,0.9246848656219444,0.9202923558463445,0.9209522468120502,0.9296249129126597,0.9246848656219444
60,0.666,all,50-60%,101174,0.9818925810979106,0.9800159759594254,0.9815738006214354,0.9821557301709528,0.9818925810979106
60,0.666,all,60-70%,293,0.7372013651877133,0.7139376299084472,0.7566551493007854,0.8401418153395616,0.7372013651877133
60,0.666,all,70-80%,11,0.6363636363636364,0.6177658256852797,0.6545454545454545,0.6818181818181818,0.6363636363636364
60,0.666,all,80-90%,2,1.0,,1.0,1.0,1.0
60,0.666,above_threshold,0-10%,2,0.0,0.0,0.0,0.0,0.0
60,0.666,above_threshold,10-20%,34,0.11764705882352941,0.07876870032529584,0.09120160884866768,0.2602941176470588,0.11764705882352941
60,0.666,above_threshold,20-30%,131,0.6030534351145038,0.5750800051278796,0.599551869495622,0.6731175372698072,0.6030534351145038
60,0.666,above_threshold,30-40%,2358,0.9050042408821035,0.9000007442076552,0.8945830389620638,0.9215921198670115,0.9050042408821035
60,0.666,above_threshold,40-50%,34035,0.982488614661378,0.9813054415752888,0.9821897124617628,0.9829196285956759,0.982488614661378
60,0.666,above_threshold,50-60%,97928,0.9952209786782126,0.9947033334721066,0.995083750659532,0.9952405903000203,0.9952209786782126
60,0.666,above_threshold,60-70%,194,0.9123711340206185,0.9051551116233042,0.920461299211666,0.957321029485978,0.9123711340206185
60,0.666,above_threshold,70-80%,7,0.7142857142857143,0.7,0.7142857142857143,0.7142857142857143,0.7142857142857143
60,0.666,above_threshold,80-90%,2,1.0,,1.0,1.0,1.0
60,0.666,below_threshold,10-20%,181,0.11049723756906077,0.052178928295250795,0.08241601660952153,0.1335283284584552,0.11049723756906077
60,0.666,below_threshold,20-30%,1042,0.1948176583493282,0.14490959590945776,0.20556701683767392,0.4204729409645445,0.1948176583493282
60,0.666,below_threshold,30-40%,2754,0.23783587509077705,0.22760813858724352,0.28311804689771497,0.6736738630463932,0.23783587509077705
60,0.666,below_threshold,40-50%,3806,0.4077771939043615,0.39315351336668386,0.43964528695165567,0.6300159702891025,0.4077771939043615
60,0.666,below_threshold,50-60%,3246,0.5797905113986445,0.5542732762451992,0.6215574754537673,0.7369287216432493,0.5797905113986445
60,0.666,below_threshold,60-70%,99,0.3939393939393939,0.32530189146988453,0.43521410972975805,0.5645342312008979,0.3939393939393939
60,0.666,below_threshold,70-80%,4,0.5,0.3,0.5,0.5,0.5
70,0.733,all,0-10%,1,0.0,,0.0,0.0,0.0
70,0.733,all,10-20%,84,0.10714285714285714,0.01864396260720286,0.07831890331890332,0.07558883768561186,0.10714285714285714
70,0.733,all,20-30%,542,0.1881918819188192,0.10770408452406405,0.16996386066537278,0.18755869805839612,0.1881918819188192
